tconst	startYear	primaryTitle	averageRating	numVotes
tt2119532	2016	Hacksaw Ridge	8.1	641238
tt6966692	2018	Green Book	8.2	640883
tt2872718	2014	Nightcrawler	7.8	640323
tt4154664	2019	Captain Marvel	6.7	639619
tt0443706	2007	Zodiac	7.7	638809
tt0120735	1998	Lock, Stock and Two Smoking Barrels	8.1	636851
tt0034583	1942	Casablanca	8.5	634672
tt0926084	2010	Harry Potter and the Deathly Hallows: Part 1	7.7	634041
tt6723592	2020	Tenet	7.3	633601
tt6644200	2018	A Quiet Place	7.5	632097
tt1219289	2011	Limitless	7.4	631435
tt0417741	2009	Harry Potter and the Half-Blood Prince	7.6	630856
tt0796366	2009	Star Trek	7.9	630348
tt0116629	1996	Independence Day	7.0	628506
tt1232829	2012	21 Jump Street	7.2	625323
tt1727824	2018	Bohemian Rhapsody	7.9	624798
tt1343092	2013	The Great Gatsby	7.2	622832
tt0365748	2004	Shaun of the Dead	7.9	621399
tt0470752	2014	Ex Machina	7.7	619699
tt1276104	2012	Looper	7.4	618453
tt1517268	2023	Barbie	6.8	612870
tt1323594	2010	Despicable Me	7.6	612410
tt1250777	2010	Kick-Ass	7.6	610552
tt0450259	2006	Blood Diamond	8.0	609303
tt0181689	2002	Minority Report	7.6	604652
tt6320628	2019	Spider-Man: Far from Home	7.4	601455
tt0096874	1989	Back to the Future Part II	7.8	600139
tt0409459	2009	Watchmen	7.6	599659
tt0290334	2003	X2: X-Men United	7.4	599077
tt2310332	2014	The Hobbit: The Battle of the Five Armies	7.4	598906
tt0343818	2004	I, Robot	7.1	598474
tt0258463	2002	The Bourne Identity	7.8	596586
tt0332452	2004	Troy	7.3	595619
tt0112641	1995	Casino	8.2	595397
tt1570728	2011	Crazy, Stupid, Love.	7.4	595383
tt0097165	1989	Dead Poets Society	8.1	595055
tt0454921	2006	The Pursuit of Happyness	8.0	594346
tt4972582	2016	Split	7.3	594194
tt1318514	2011	Rise of the Planet of the Apes	7.6	594178
tt1022603	2009	500 Days of Summer	7.6	593591
tt0071853	1975	Monty Python and the Holy Grail	8.2	589810
tt1298650	2011	Pirates of the Caribbean: On Stranger Tides	6.6	588717
tt1457767	2013	The Conjuring	7.5	587269
tt5027774	2017	Three Billboards Outside Ebbing, Missouri	8.1	585683
tt6710474	2022	Everything Everywhere All at Once	7.8	584285
tt2948356	2016	Zootopia	8.0	583253
tt2713180	2014	Fury	7.6	581889
tt1270797	2018	Venom	6.6	580813
tt10811166	2022	The Kashmir Files	8.5	576475
tt1483013	2013	Oblivion	7.0	573140
tt1659337	2012	The Perks of Being a Wallflower	7.9	572955
tt0356910	2005	Mr. & Mrs. Smith	6.5	570240
tt0945513	2011	Source Code	7.5	569224
tt0095953	1988	Rain Man	8.0	567375
tt1872181	2014	The Amazing Spider-Man 2	6.6	566036
tt0467406	2007	Juno	7.4	563737
tt0242653	2003	The Matrix Revolutions	6.7	562239
tt0376994	2006	X-Men: The Last Stand	6.6	561272
tt0314331	2003	Love Actually	7.5	559767
tt2872732	2014	Lucy	6.4	559753
tt1411697	2011	The Hangover Part II	6.5	558590
tt0458525	2009	X-Men Origins: Wolverine	6.5	556142
tt0087469	1984	Indiana Jones and the Temple of Doom	7.5	554018
tt0441773	2008	Kung Fu Panda	7.6	553898
tt0425112	2007	Hot Fuzz	7.8	553427
tt0367594	2005	Charlie and the Chocolate Factory	6.7	553057
tt2179136	2014	American Sniper	7.3	552931
tt1229238	2011	Mission: Impossible - Ghost Protocol	7.4	550816
tt0047396	1954	Rear Window	8.5	549570
tt0206634	2006	Children of Men	7.9	549352
tt0099487	1990	Edward Scissorhands	7.8	548040
tt1663662	2013	Pacific Rim	6.9	546609
tt0800080	2008	The Incredible Hulk	6.6	546584
tt0268380	2002	Ice Age	7.5	545263
tt4425200	2017	John Wick: Chapter 2	7.4	545139
tt0289879	2004	The Butterfly Effect	7.6	542085
tt0057012	1964	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	8.3	539731
tt0449059	2006	Little Miss Sunshine	7.8	539709
tt1477834	2018	Aquaman	6.8	539380
tt1790864	2014	The Maze Runner	6.8	538586
